,text,metadata
12,"Family Commons
Patient Education Resources
How to Request Medical Records
Campus InformationClinics & ServicesHousingTransportationShuttle ScheduleVisiting MemphisPlaces to EatConcierge ServicesContact Directory
Clinics & Services
Housing
Transportation
Shuttle Schedule
Visiting Memphis
Places to Eat
Concierge Services
Contact Directory
Life Beyond St. JudeWhat to Expect after TreatmentGoing HomeHow to Transition to Adult CareCare for Childhood Cancer Survivors
What to Expect after Treatment
Going Home
How to Transition to Adult Care
Care for Childhood Cancer Survivors
All Diseases Treated at  St. Jude
Childhood CancersLeukemias and LymphomasBrain and Spine TumorsSolid Tumors
Leukemias and Lymphomas
Brain and Spine Tumors
Solid Tumors
Blood DisordersSickle Cell
Sickle Cell","{'source_url': 'https://www.stjude.org/treatment/patient-resources/while-here/parking.html', 'retrieved_at': '2025-09-29T19:29:58.561497', 'title': 'Parking and Construction | St. Jude Care & Treatment', 'section': 'Parking and Construction | St. Jude Care & Treatment', 'super_section': None}"
13,"Brain and Spine Tumors
Solid Tumors
Blood DisordersSickle Cell
Sickle Cell
Immune Disorders
Infectious Diseases
Neurological Disorders
Genetic Predisposition Syndromes
Types of TreatmentBone Marrow TransplantChemotherapyImmunotherapyProton TherapyRadiation TherapySurgery
Bone Marrow Transplant
Chemotherapy
Immunotherapy
Proton Therapy
Radiation Therapy
Surgery
Clinics & Services
Clinical Initiatives
Affiliate Program
Quality and Patient Safety
Open Clinical Trials
Clinical Trial Results
About Clinical Research
Childhood Cancer Clinical TrialsLeukemia/LymphomaBrain and Spine TumorSolid Tumor
Leukemia/Lymphoma
Brain and Spine Tumor
Solid Tumor
Blood Disorder Clinical TrialsSickle Cell
Sickle Cell
Immune Disorder Clinical Trials
Infectious Diseases Clinical TrialsHIV
HIV","{'source_url': 'https://www.stjude.org/treatment/patient-resources/while-here/parking.html', 'retrieved_at': '2025-09-29T19:29:58.561497', 'title': 'Parking and Construction | St. Jude Care & Treatment', 'section': 'Parking and Construction | St. Jude Care & Treatment', 'super_section': None}"
14,"Immune Disorder Clinical Trials
Infectious Diseases Clinical TrialsHIV
HIV
Neurological Disorder Clinical Trials
Genetic Syndrome Clinical Trials
How to Refer a PatientRequest a consult
Request a consult
How to Seek Treatment
How to Monitor a Patient's Progress
Physician Patient Referral Office
St. Jude Children’s Research Hospital offers a variety of parking, shuttle, and transport options to help you go to and from your child’s appointments.
Campus construction is affecting parking and hospital access. Please check this page often for updates.Details about parking and construction are also offered on theOur St. Jude Patient app.","{'source_url': 'https://www.stjude.org/treatment/patient-resources/while-here/parking.html', 'retrieved_at': '2025-09-29T19:29:58.561497', 'title': 'Parking and Construction | St. Jude Care & Treatment', 'section': 'Parking and Construction | St. Jude Care & Treatment', 'super_section': None}"
15,"Two 15-story buildings are under construction on campus. They will house outpatient clinics and offices. The new buildings are between the Chili’s Care Center and North 3rd Street.
You should avoid walking or standing outside near the work sites. Construction and demolition create dust. The dust poses a risk to patients. For your child’s safety, please:
Use the shuttle instead of walking on campus.
Use the valet service if you drive to campus.
Limit time outdoors.
Make sure your child wears a mask whenever they are outside on campus.
Air quality will change during construction. Guidelines will be updated as needed to protect patients, families, and staff.","{'source_url': 'https://www.stjude.org/treatment/patient-resources/while-here/parking.html', 'retrieved_at': '2025-09-29T19:29:58.561497', 'title': 'Parking and Construction | St. Jude Care & Treatment', 'section': 'Construction updates', 'super_section': None}"
16,"The building construction will take several years. It will benefit patients for years to come. Thank you for your help and patience as we make St. Jude an even better place for our patients, families, and staff.","{'source_url': 'https://www.stjude.org/treatment/patient-resources/while-here/parking.html', 'retrieved_at': '2025-09-29T19:29:58.561497', 'title': 'Parking and Construction | St. Jude Care & Treatment', 'section': 'Construction updates', 'super_section': None}"
17,"Due to construction, all patients must now enter the hospital campus through the North Lauderdale Street gate. Click on the Google Map to get directions to the North Lauderdale Street gate, located near332 North Lauderdale Street, Memphis, TN 38105. By selecting the “directions” option in the menu, you can enter your current location and get directions to this gate.
The hospital’s main entrance for patients and families is the Patient Care Center (PCC). The PCC main entrance is always open, including nights, weekends, and holidays. The entrance is for all patients, including isolation patients.
If you arrive by shuttle, you will enter the hospital through the shuttle entrance with the red awning. This entrance is on the south side of the Danny Thomas Research Center.","{'source_url': 'https://www.stjude.org/treatment/patient-resources/while-here/parking.html', 'retrieved_at': '2025-09-29T19:29:58.561497', 'title': 'Parking and Construction | St. Jude Care & Treatment', 'section': 'Entering the hospital', 'super_section': None}"
18,"Walking paths to each entrance are marked with colored decals.
The entrance to the Chili’s Care Center will be closed during construction.
Learn more about Visitors and Security.","{'source_url': 'https://www.stjude.org/treatment/patient-resources/while-here/parking.html', 'retrieved_at': '2025-09-29T19:29:58.561497', 'title': 'Parking and Construction | St. Jude Care & Treatment', 'section': 'Entering the hospital', 'super_section': None}"
19,"If you drive to campus, please use the free valet service whenever possible, or park in marked patient parking. The circle drive in front of the Patient Care Center (PCC) is open for valet drop-off and isolation patients. There is no short-term parking in the valet area.
Valet service hours are Monday–Friday, 5:30 a.m.–11 p.m. To use the valet service:
Enter the campus through the North Lauderdale Street entrance.
Drive to the valet service located in front of the PCC.
Drop off your car with the valet.
Pick up your car from the valet staff when you are ready to leave. Only valet staff may enter the reserved lot to get your car.
If you need to get your car after valet hours, request your key from the security officer at the PCC entrance. They will direct you to your car.","{'source_url': 'https://www.stjude.org/treatment/patient-resources/while-here/parking.html', 'retrieved_at': '2025-09-29T19:29:58.561497', 'title': 'Parking and Construction | St. Jude Care & Treatment', 'section': 'Valet service', 'super_section': None}"
20,"You may park your vehicle on campus, but you need to get a parking tag. Tags are available from security at the PCC and Target House. You will need to give your license plate number. The tag is valid for 6 months.
For patients and families who drive and do not use the valet service, parking is offered in 3 lots near the PCC. Reserved spaces are also offered on the ground level of parking garage 1. To reach the parking lots:
Enter through the North Lauderdale gate.
Take the first right.
The parking lots are on your right. Look for the signs.
After you park, follow the signs to enter the hospital through the PCC main entrance. You can also enter through the shuttle entrance on the south side of the Danny Thomas Research Center. Look for the red awning.","{'source_url': 'https://www.stjude.org/treatment/patient-resources/while-here/parking.html', 'retrieved_at': '2025-09-29T19:29:58.561497', 'title': 'Parking and Construction | St. Jude Care & Treatment', 'section': 'Self-park', 'super_section': None}"
21,"You can load or unload your car at the PCC valet entrance when you drop off or pick up your car. If you self-park, pull up to the PCC main entrance (past the valet area) to load or unload your vehicle.
Remember: There is no short-term parking in the valet area. Do not leave your car unattended.
For your safety, there is a security call station in the Tri Delta parking lot, as well as call stations at our pedestrian gates.  There are also call stations inside of the parking garages and by the parking garage elevators. If you need help at any time, day or night, push the button on the call station. You can also push the call button to reach Security for non-emergency stations such as:
Your child or you feel suddenly sick
You have a problem with your vehicle or are locked out of your vehicle","{'source_url': 'https://www.stjude.org/treatment/patient-resources/while-here/parking.html', 'retrieved_at': '2025-09-29T19:29:58.561497', 'title': 'Parking and Construction | St. Jude Care & Treatment', 'section': 'Self-park', 'super_section': None}"
22,"You have a problem with your vehicle or are locked out of your vehicle
You see something suspicious
You need a ride to a building
You would like a security officer to walk with you after dark","{'source_url': 'https://www.stjude.org/treatment/patient-resources/while-here/parking.html', 'retrieved_at': '2025-09-29T19:29:58.561497', 'title': 'Parking and Construction | St. Jude Care & Treatment', 'section': 'Self-park', 'super_section': None}"
23,"Tri Delta Place has its own parking lot:
This parking lot is only for families staying at Tri Delta Place.
Use the Jackson Avenue gate entrance between Tri Delta Place and the Barry-Longinotti Building. The gate at Overton Street and 3rd Street is closed during construction.
Families will be issued a parking pass at Tri Delta Place for entry. Pick up the pass at the Tri Delta Place front desk.","{'source_url': 'https://www.stjude.org/treatment/patient-resources/while-here/parking.html', 'retrieved_at': '2025-09-29T19:29:58.561497', 'title': 'Parking and Construction | St. Jude Care & Treatment', 'section': 'Tri Delta Place parking', 'super_section': None}"
24,"Level 2 chargers for electric vehicles are located in the Gene Logan parking lot at Gene Logan Boulevard and Manassas Street. A St. Jude shuttle bus runs between the Gene Logan lot and the Marlo Thomas Center Monday through Friday from 5:30 a.m.–7 p.m. Please call901-595-4856for the patient family shuttle bus. The lot has a gate and is watched by St. Jude Security during those hours.
Two more chargers are also available atThe Domino’s Villagefor families staying there or atTri Delta Place. Charging your vehicle at these stations is free for St. Jude patient families.","{'source_url': 'https://www.stjude.org/treatment/patient-resources/while-here/parking.html', 'retrieved_at': '2025-09-29T19:29:58.561497', 'title': 'Parking and Construction | St. Jude Care & Treatment', 'section': 'Electric vehicle charging stations', 'super_section': None}"
25,"You will need a special card, called a Blink RFID card, to use the charger. While staying in St. Jude housing, you can borrow a card each day from the Housing Business Office or the front desk. You must sign it in and out each day. You can charge for up to 4 hours. After that, the charger will stop charging.
Please return the card when you check out of housing. The Blink card will only work at these St. Jude chargers, not at other Blink locations.","{'source_url': 'https://www.stjude.org/treatment/patient-resources/while-here/parking.html', 'retrieved_at': '2025-09-29T19:29:58.561497', 'title': 'Parking and Construction | St. Jude Care & Treatment', 'section': 'Electric vehicle charging stations', 'super_section': None}"
26,Handicapped parking is available in the patient parking near the PCC entrance. Enter through the North Lauderdale gate.,"{'source_url': 'https://www.stjude.org/treatment/patient-resources/while-here/parking.html', 'retrieved_at': '2025-09-29T19:29:58.561497', 'title': 'Parking and Construction | St. Jude Care & Treatment', 'section': 'Handicapped parking', 'super_section': None}"
27,"St. Jude shuttles are offered for patient families. Parking on campus is limited. Please use the shuttle to travel to the hospital from St. Jude housing.
You can find the shuttle schedule:
On theShuttle Scheduleweb page. This page also includes guidelines for shuttle use and information about special transport requests.
OnOur St. Judeapp
At the Guest Services desk in the Patient Care Center (PCC) lobby
At the front desk of each housing facility","{'source_url': 'https://www.stjude.org/treatment/patient-resources/while-here/parking.html', 'retrieved_at': '2025-09-29T19:29:58.561497', 'title': 'Parking and Construction | St. Jude Care & Treatment', 'section': 'Shuttles', 'super_section': None}"
28,"The ALSAC Gift Shop has moved to the ALSAC Tamer-Rashid Building.
The entrance is to the right of the main ALSAC building entrance.
Online ordering is also available.","{'source_url': 'https://www.stjude.org/treatment/patient-resources/while-here/parking.html', 'retrieved_at': '2025-09-29T19:29:58.561497', 'title': 'Parking and Construction | St. Jude Care & Treatment', 'section': 'ALSAC Gift Shop', 'super_section': None}"
29,"Shuttle schedule
Transportation, lodging, and housing
Phone numbers
Best Upon Request concierge service
Visitors and security
Share
Post
Email
Print","{'source_url': 'https://www.stjude.org/treatment/patient-resources/while-here/parking.html', 'retrieved_at': '2025-09-29T19:29:58.561497', 'title': 'Parking and Construction | St. Jude Care & Treatment', 'section': 'Learn more', 'super_section': None}"
30,"St. Jude Family of Websites
Explore our cutting edge research, world-class patient care, career opportunities and more.
St. Jude Children's Research Hospital Home
ResearchSt. Jude ResearchProgress: A Digital MagazineResearch & Clinical FacultySt. Jude CloudChildhood Cancer Survivor Study
St. Jude Research
Progress: A Digital Magazine
Research & Clinical Faculty
St. Jude Cloud
Childhood Cancer Survivor Study
CareersCareers at St. JudeHave More in Memphis
Careers at St. Jude
Have More in Memphis
Patient InformationCare & Treatment at St. JudeTogether by St. Jude™ online resourceLong-Term Follow-Up StudySt. Jude LIFE
Care & Treatment at St. Jude
Together by St. Jude™ online resource
Long-Term Follow-Up Study
St. Jude LIFE","{'source_url': 'https://www.stjude.org/treatment/services/clinics-and-services/social-work.html', 'retrieved_at': '2025-09-29T19:29:58.981729', 'title': 'Social Work | St. Jude Care & Treatment', 'section': 'Social Work | St. Jude Care & Treatment', 'super_section': None}"
31,"Together by St. Jude™ online resource
Long-Term Follow-Up Study
St. Jude LIFE
Education & OutreachEducation & Training at St. JudeSt. Jude Graduate School of Biomedical SciencesSt. Jude Global
Education & Training at St. Jude
St. Jude Graduate School of Biomedical Sciences
St. Jude Global
FundraisingGet InvolvedWays to Give
Get Involved
Ways to Give
Menu
Close
Patient & Family ResourcesHow to Seek TreatmentAffiliate ProgramInformation for New PatientsSt. Jude MyChartPatient Family Centered CareFamily CommonsPatient Education ResourcesHow to Request Medical Records
How to Seek Treatment
Affiliate Program
Information for New Patients
St. Jude MyChart
Patient Family Centered Care
Family Commons
Patient Education Resources
How to Request Medical Records","{'source_url': 'https://www.stjude.org/treatment/services/clinics-and-services/social-work.html', 'retrieved_at': '2025-09-29T19:29:58.981729', 'title': 'Social Work | St. Jude Care & Treatment', 'section': 'Social Work | St. Jude Care & Treatment', 'super_section': None}"
32,"Family Commons
Patient Education Resources
How to Request Medical Records
Campus InformationClinics & ServicesHousingTransportationShuttle ScheduleVisiting MemphisPlaces to EatConcierge ServicesContact Directory
Clinics & Services
Housing
Transportation
Shuttle Schedule
Visiting Memphis
Places to Eat
Concierge Services
Contact Directory
Life Beyond St. JudeWhat to Expect after TreatmentGoing HomeHow to Transition to Adult CareCare for Childhood Cancer Survivors
What to Expect after Treatment
Going Home
How to Transition to Adult Care
Care for Childhood Cancer Survivors
All Diseases Treated at  St. Jude
Childhood CancersLeukemias and LymphomasBrain and Spine TumorsSolid Tumors
Leukemias and Lymphomas
Brain and Spine Tumors
Solid Tumors
Blood DisordersSickle Cell
Sickle Cell","{'source_url': 'https://www.stjude.org/treatment/services/clinics-and-services/social-work.html', 'retrieved_at': '2025-09-29T19:29:58.981729', 'title': 'Social Work | St. Jude Care & Treatment', 'section': 'Social Work | St. Jude Care & Treatment', 'super_section': None}"
33,"Brain and Spine Tumors
Solid Tumors
Blood DisordersSickle Cell
Sickle Cell
Immune Disorders
Infectious Diseases
Neurological Disorders
Genetic Predisposition Syndromes
Types of TreatmentBone Marrow TransplantChemotherapyImmunotherapyProton TherapyRadiation TherapySurgery
Bone Marrow Transplant
Chemotherapy
Immunotherapy
Proton Therapy
Radiation Therapy
Surgery
Clinics & Services
Clinical Initiatives
Affiliate Program
Quality and Patient Safety
Open Clinical Trials
Clinical Trial Results
About Clinical Research
Childhood Cancer Clinical TrialsLeukemia/LymphomaBrain and Spine TumorSolid Tumor
Leukemia/Lymphoma
Brain and Spine Tumor
Solid Tumor
Blood Disorder Clinical TrialsSickle Cell
Sickle Cell
Immune Disorder Clinical Trials
Infectious Diseases Clinical TrialsHIV
HIV","{'source_url': 'https://www.stjude.org/treatment/services/clinics-and-services/social-work.html', 'retrieved_at': '2025-09-29T19:29:58.981729', 'title': 'Social Work | St. Jude Care & Treatment', 'section': 'Social Work | St. Jude Care & Treatment', 'super_section': None}"
34,"Immune Disorder Clinical Trials
Infectious Diseases Clinical TrialsHIV
HIV
Neurological Disorder Clinical Trials
Genetic Syndrome Clinical Trials
How to Refer a PatientRequest a consult
Request a consult
How to Seek Treatment
How to Monitor a Patient's Progress
Physician Patient Referral Office
St. Jude social workers provide support and counseling for patients and families faced with serious childhood diseases.
When a serious illness affects a child or adolescent, it also impacts the entire family. At St. Jude, our social workers can help you through the care process, so you do not face these challenges alone. We provide support and counseling as you and your family adjust to diagnosis and treatment.","{'source_url': 'https://www.stjude.org/treatment/services/clinics-and-services/social-work.html', 'retrieved_at': '2025-09-29T19:29:58.981729', 'title': 'Social Work | St. Jude Care & Treatment', 'section': 'Social Work | St. Jude Care & Treatment', 'super_section': None}"
35,"A St. Jude social worker can provide counseling, support, and education about:
Adjusting to diagnosis and treatment
The impact of illness on family relationships
Communicating needs or questions to the care team
Preparing to return home
Completing active treatment or moving from pediatric to adult care
Local and national community, financial and health care resources, including wish groups
Completing advance directives","{'source_url': 'https://www.stjude.org/treatment/services/clinics-and-services/social-work.html', 'retrieved_at': '2025-09-29T19:29:58.981729', 'title': 'Social Work | St. Jude Care & Treatment', 'section': 'Services we provide', 'super_section': None}"
36,"In your first weeks at St. Jude, a social worker will meet with you to learn more about you and your family. They will get details on your family’s strengths, challenges, and needs to help your care team best support you.A social worker can meet with you again to provide counseling and offer other help as needed.
Meet your social work team.","{'source_url': 'https://www.stjude.org/treatment/services/clinics-and-services/social-work.html', 'retrieved_at': '2025-09-29T19:29:58.981729', 'title': 'Social Work | St. Jude Care & Treatment', 'section': 'What to expect', 'super_section': None}"
37,"Social workers provide vital emotional support and resources that help families stay strong, connected, and empowered in their journey.
Read Brayden's story.","{'source_url': 'https://www.stjude.org/treatment/services/clinics-and-services/social-work.html', 'retrieved_at': '2025-09-29T19:29:58.981729', 'title': 'Social Work | St. Jude Care & Treatment', 'section': 'Essential support in a difficult time', 'super_section': None}"
38,"Coping with a child’s diagnosis, illness, and treatment can be challenging. Our social workers offer a way for you to connect with others who face similar issues. Caregiver Connections groups can help you find and share hope, meaning, comfort, and support. Small groups help you meet people, make friends and learn new ways to cope.
Caregiver Connections groups provide:
A spot to meet and connect with other St. Jude families
Tips and information to navigate illness and treatment
Methods to manage stress, fear and fatigue
A chance to learn from other people’s stories and share your own
Support from licensed social workers and parent mentors
A friendly circle of comfort, community, and care","{'source_url': 'https://www.stjude.org/treatment/services/clinics-and-services/social-work.html', 'retrieved_at': '2025-09-29T19:29:58.981729', 'title': 'Social Work | St. Jude Care & Treatment', 'section': 'Caregiver Connections groups', 'super_section': None}"
39,"A friendly circle of comfort, community, and care
Learn more about Caregiver Connections dates and times by visiting theOur St. Jude Patient App. Contact your social worker with any questions.","{'source_url': 'https://www.stjude.org/treatment/services/clinics-and-services/social-work.html', 'retrieved_at': '2025-09-29T19:29:58.981729', 'title': 'Social Work | St. Jude Care & Treatment', 'section': 'Caregiver Connections groups', 'super_section': None}"
40,"Social workers are available Monday through Friday, 8 a.m.–5 p.m. A social worker is also available after hours for emergencies.
To contact a social worker while inside the hospital, dial 3670. If you are in the Memphis area call901-595-3670. If you are outside the Memphis area, call toll-free 1-866-2STJUDE (1-866-278-5833), extension 3670.
Patient Assistance Coordinator
Caregivers SHARE Podcast
Together by St. Jude™️
Family Help by findhelp
Supplemental Security Income
Share
Post
Email
Print","{'source_url': 'https://www.stjude.org/treatment/services/clinics-and-services/social-work.html', 'retrieved_at': '2025-09-29T19:29:58.981729', 'title': 'Social Work | St. Jude Care & Treatment', 'section': 'Learn more', 'super_section': None}"
41,"As a patient ofSt. JudeChildren’s Research Hospital, I have these rights:","{'source_url': 'https://www.stjude.org/patient-experience/resources-families/privacy-legal/patient-rights.html', 'retrieved_at': '2025-09-29T19:29:59.454836', 'title': 'Patient Rights - St. Jude Children’s Research Hospital', 'section': 'Patient Rights - St. Jude Children’s Research Hospital', 'super_section': None}"
42,"To be free from discrimination on the basis of race, color, national origin, age, physical or mental disability, sex, ethnicity, religion, culture, language, socioeconomic status, protected veteran status, sex, pregnancy, transgender status, sexual orientation, gender identity or expression, genetic information, payment source, or marital status. (As a pediatric research hospital,St. Judeconsiders patient age and other medical factors when deciding if a patient will be accepted.)
To be called by a preferred name when possible, if different from my legal name.
To know the names of the doctors, nurses, and others who take care of me.
To be treated with courtesy and respect.
To be comfortable, nourished, and without restraints wherever possible.","{'source_url': 'https://www.stjude.org/patient-experience/resources-families/privacy-legal/patient-rights.html', 'retrieved_at': '2025-09-29T19:29:59.454836', 'title': 'Patient Rights - St. Jude Children’s Research Hospital', 'section': 'Care delivery', 'super_section': None}"
43,"To be comfortable, nourished, and without restraints wherever possible.
To have the staff assess and manage my pain properly.
To receive care in a safe setting.
To be free from any form of abuse, neglect, or harassment.
To specify my gender identity (see Patient Registration, call901-595-2010, or let my care team know).","{'source_url': 'https://www.stjude.org/patient-experience/resources-families/privacy-legal/patient-rights.html', 'retrieved_at': '2025-09-29T19:29:59.454836', 'title': 'Patient Rights - St. Jude Children’s Research Hospital', 'section': 'Care delivery', 'super_section': None}"
44,"To choose whether or not to receive visitors, and which visitors to receive (without discrimination), followingSt. Judevisiting rules that might limit some visits or visitors for medical or safety reasons.","{'source_url': 'https://www.stjude.org/patient-experience/resources-families/privacy-legal/patient-rights.html', 'retrieved_at': '2025-09-29T19:29:59.454836', 'title': 'Patient Rights - St. Jude Children’s Research Hospital', 'section': 'Visitors', 'super_section': None}"
45,"To have all my questions answered in words I understand.
To communicate in a manner I understand. This includes language assistance services such as interpreters and translations, and communication aids and services for me, my family, or my companions free of charge and in a timely manner. Please call the Patient Relations Coordinator at901-595-8383or theSt. Judeoperator at901-595-3300.","{'source_url': 'https://www.stjude.org/patient-experience/resources-families/privacy-legal/patient-rights.html', 'retrieved_at': '2025-09-29T19:29:59.454836', 'title': 'Patient Rights - St. Jude Children’s Research Hospital', 'section': 'Communication', 'super_section': None}"
46,"To privacy in treatment and to confidential medical records, according to laws that govern privacy and medical records, except required reporting and permitted disclosures.","{'source_url': 'https://www.stjude.org/patient-experience/resources-families/privacy-legal/patient-rights.html', 'retrieved_at': '2025-09-29T19:29:59.454836', 'title': 'Patient Rights - St. Jude Children’s Research Hospital', 'section': 'Privacy', 'super_section': None}"
47,"To be given information on my condition, diagnosis, treatment options, and prognosis, and to review my medical records.
To be involved in the decision making for my care and the plan of care. This includes the right to make decisions based on personal values, such as the right to refuse treatment or surgery and the right to refuse to take part in research.
To express spiritual beliefs and cultural practices that do not harm others or interfere with medical care.
To request a hospital Ethics Committee review of ethical issues that relate to my care, by contacting any member of my care team, including my social worker or a hospital chaplain at901-595-3300.
To be informed about hospital policies and rules that apply to me.","{'source_url': 'https://www.stjude.org/patient-experience/resources-families/privacy-legal/patient-rights.html', 'retrieved_at': '2025-09-29T19:29:59.454836', 'title': 'Patient Rights - St. Jude Children’s Research Hospital', 'section': 'Informed decisions', 'super_section': None}"
48,"To be given information about any recommended transfer to another facility.
To be given information that will help me take care of myself upon discharge.","{'source_url': 'https://www.stjude.org/patient-experience/resources-families/privacy-legal/patient-rights.html', 'retrieved_at': '2025-09-29T19:29:59.454836', 'title': 'Patient Rights - St. Jude Children’s Research Hospital', 'section': 'Care planning', 'super_section': None}"
49,"To appoint a surrogate decision-maker or to create an advance directive (if I am an adult), and to be given and to receive more information about advance directives if I wish.","{'source_url': 'https://www.stjude.org/patient-experience/resources-families/privacy-legal/patient-rights.html', 'retrieved_at': '2025-09-29T19:29:59.454836', 'title': 'Patient Rights - St. Jude Children’s Research Hospital', 'section': 'Advance directives', 'super_section': None}"
50,"To voice a complaint about my care without any reprisal or impact on my care, and to have any complaints reviewed and, if possible, resolved.","{'source_url': 'https://www.stjude.org/patient-experience/resources-families/privacy-legal/patient-rights.html', 'retrieved_at': '2025-09-29T19:29:59.454836', 'title': 'Patient Rights - St. Jude Children’s Research Hospital', 'section': 'Concerns, complaints and questions', 'super_section': None}"
