id,text,metadata
10,Developing a school plan starts by asking the right questions. Talk to your care team and school to learn more about your child’s needs and what resources are available.,"{'source_url': 'https://together.stjude.org/en-us/emotional-support-daily-life/school/school-support-chronic-illness.html', 'retrieved_at': '2025-09-29T18:09:06.181394', 'title': 'School Support During Chronic Illness - Together by St. Jude™', 'section': 'Ask questions and find resources', 'super_section': None}"
11,"Can my child attend school during treatment?
What school services does the hospital provide?
Is there someone who can help with plans and communication?
Who will be the contact person on the healthcare team?
What documents should I get from the healthcare team?
Does my child’s health care provider need to sign any forms?
How could my child’s illness or treatment affect:Ability to think, learn, or pay attentionEmotional or social healthVision, hearing, or speechPhysical abilities, such as the ability to write or walk
Ability to think, learn, or pay attention
Emotional or social health
Vision, hearing, or speech
Physical abilities, such as the ability to write or walk","{'source_url': 'https://together.stjude.org/en-us/emotional-support-daily-life/school/school-support-chronic-illness.html', 'retrieved_at': '2025-09-29T18:09:06.181394', 'title': 'School Support During Chronic Illness - Together by St. Jude™', 'section': 'Questions to ask your care team:', 'super_section': None}"
12,"Who is our primary contact person at the school?
What school services are available?
Who can help me set up school services or classroom accommodations?
How can my child keep up with assignments?
How can my child connect and collaborate with classmates?
What remote learning options are available?
What medical support is available at the school?
What is the preferred method of communication with school staff and teachers?","{'source_url': 'https://together.stjude.org/en-us/emotional-support-daily-life/school/school-support-chronic-illness.html', 'retrieved_at': '2025-09-29T18:09:06.181394', 'title': 'School Support During Chronic Illness - Together by St. Jude™', 'section': 'Questions to ask your child’s school:', 'super_section': None}"
13,"Make a plan to help your child keep up with school as early in the treatment process as possible.
A large children’s hospital will often have school services to support patients. The format will depend on the hospital but may include:
A school program operated within the hospital
Homebound school services or resources provided by the local school system
A liaison who can help coordinate services. Sometimes that person may be a social worker or nurse.
Get support from your child’s care team and members from your child’s school. When planning school support, you may want to involve different people who can help:
Care team members
A school administrator or counselor
A hospital school program representative
Your child’s teachers
Your child
Other parents who have been through a similar experience
Your child’s school support plan may include:
Classroom accommodations, such as an Individualized Education Plan (IEP) or 504 Plan
Homebound school servicesif your child cannot attend school in person
Planning to help your child stayconnected to classmates
Identifying ways to help your child do school tasks more easily","{'source_url': 'https://together.stjude.org/en-us/emotional-support-daily-life/school/school-support-chronic-illness.html', 'retrieved_at': '2025-09-29T18:09:06.181394', 'title': 'School Support During Chronic Illness - Together by St. Jude™', 'section': 'Make a plan for school support', 'super_section': None}"
14,"Communicate with your child’s school regularly to help the process go smoothly. Keep them informed about your child's health status, treatment schedule, and any changes in their condition that may affect their ability to attend school or complete assignments.
You may want to choose 2 people to stay in contact with, such as a school representative and someone from the hospital’s school program. In elementary schools, your child’s teacher or principal will often be the representative. In middle school and high school, your child’s guidance counselor will be the representative.
It is helpful to have an introductory meeting that includes parents, teachers from your child’s school, a hospital school program representative, and the child (if able to understand). If your family is far away, you may have a conference call or an online meeting.
Topics to discuss include:
How often your child or teen could miss school
How illness or treatments may affect school performance, thinking skills, ability to pay attention, and emotional well-being
Regular check-in meetings between the family, school, and hospital representatives
The right workload for your child so they can move to the next grade
How your child will handle assignments if they cannot complete them due to illness
Homebound school services if your child cannot attend school in person
Classroom accommodations included as part of an IEP or 504 Plan
Over time, your child’s needs may change. Revisit the plan often to monitor progress, set goals, and adjust the plan if needed.","{'source_url': 'https://together.stjude.org/en-us/emotional-support-daily-life/school/school-support-chronic-illness.html', 'retrieved_at': '2025-09-29T18:09:06.181394', 'title': 'School Support During Chronic Illness - Together by St. Jude™', 'section': 'Keep open communication', 'super_section': None}"
15,"Advocate for your child's needs within the school system to make sure that they get the support they need. Explore available school services, accommodations, and resources by talking with your care team and your child’s school.
Ask questions and stay informed. Work with school staff and teachers to address any concerns or challenges.
Do not be afraid to ask for help. You may want a trusted family member or friend to help you. Other parents who have been through a similar situation may be able to offer support. A hospital school program representative orsocial workercan help you identify needs and plan as well.","{'source_url': 'https://together.stjude.org/en-us/emotional-support-daily-life/school/school-support-chronic-illness.html', 'retrieved_at': '2025-09-29T18:09:06.181394', 'title': 'School Support During Chronic Illness - Together by St. Jude™', 'section': 'Be your child’s advocate', 'super_section': None}"
16,"Create a supportive and nurturing learning environment. Ways to support your child include:
Establish a consistent school routine, whether they attend school in person or learn at home.
Set up a quiet, organized, and comfortable study space.
Help with homework or assignments when needed.
Be flexible. Your child’s needs may change over time.
School can be a challenge even when your child is healthy. Encourage your child to set realistic goals and celebrate their achievements, no matter how small.","{'source_url': 'https://together.stjude.org/en-us/emotional-support-daily-life/school/school-support-chronic-illness.html', 'retrieved_at': '2025-09-29T18:09:06.181394', 'title': 'School Support During Chronic Illness - Together by St. Jude™', 'section': 'Encourage a positive learning environment', 'super_section': None}"
17,"Children who have a medical condition or chronic illness may face challenges in keeping up with school.
Children who attend school during treatment and recovery can keep a sense of normalcy, do better academically, and have better social and emotional skills.
Work with your child’s care team and school to make a plan and identify resources.
Keep open communication and advocate for your child to support their academic success during illness.
—Reviewed: July 2024","{'source_url': 'https://together.stjude.org/en-us/emotional-support-daily-life/school/school-support-chronic-illness.html', 'retrieved_at': '2025-09-29T18:09:06.181394', 'title': 'School Support During Chronic Illness - Together by St. Jude™', 'section': 'Key points about keeping up with school', 'super_section': None}"
18,"Classroom AccommodationsYouth returning to school after cancer, sickle cell, or other illness may need support. Learn how a 504 Plan or Individualized Education Program (IEP) can help.
Youth returning to school after cancer, sickle cell, or other illness may need support. Learn how a 504 Plan or Individualized Education Program (IEP) can help.
Homebound School ServicesHomebound school services are educational programs for students who cannot attend regular school due to medical reasons. Learn about homebound instruction.
Homebound school services are educational programs for students who cannot attend regular school due to medical reasons. Learn about homebound instruction.
Be Your Child’s School AdvocateIf your child has a serious illness, it is important to be their advocate and ensure their education needs are met. Learn ways to advocate for your child.
If your child has a serious illness, it is important to be their advocate and ensure their education needs are met. Learn ways to advocate for your child.","{'source_url': 'https://together.stjude.org/en-us/emotional-support-daily-life/school/school-support-chronic-illness.html', 'retrieved_at': '2025-09-29T18:09:06.181394', 'title': 'School Support During Chronic Illness - Together by St. Jude™', 'section': 'Related content', 'super_section': None}"
19,"When a child has a serious illness, it affects the whole family. Every child reacts to stress differently. Common feelings that siblings may have include:
Fear
Sadness
Loneliness
Jealousy
Guilt
Embarrassment
Confusion
Uncertainty
Loss of control
When you have a child with a serious illness, it is important to try to keep things as normal as possible for their siblings.
It is important to talk to siblings about their experience and encourage them to share their feelings. Let them know that you understand and love them unconditionally. Hospital staff such aschild life specialists,social workers,chaplains, and psychologists and othermental health care specialistscan help provide support. Your hospital may offer support groups and other programs for siblings to help maintain a sense of belonging and normalcy.
Here are some ways parents can support siblings of children with a serious health condition:","{'source_url': 'https://together.stjude.org/en-us/emotional-support-daily-life/for-siblings/parenting-siblings.html', 'retrieved_at': '2025-09-29T18:09:06.432073', 'title': 'Parenting Siblings of a Child with a Serious Illness - Together by St. Jude™', 'section': 'Parenting Siblings of a Child with a Serious Illness - Together by St. Jude™', 'super_section': None}"
20,"Be honest and open with your children. Siblings are often scared because they don’t understand this new experience. Give an age-appropriate description of the illness. Your care team can help you talk about your child’s condition and treatments in ways siblings can understand. If you explain what’s happening, it can lessen fear and confusion.
It is also important to understand what each child thinks about the illness. Children might not know what questions to ask or be afraid to bring it up to parents. Check understanding and then clear up false beliefs or misinformation.
For example, a child may wrongly think that cancer is contagious. Some children may believe that people always die when they have cancer when, in fact, many children can be cured.","{'source_url': 'https://together.stjude.org/en-us/emotional-support-daily-life/for-siblings/parenting-siblings.html', 'retrieved_at': '2025-09-29T18:09:06.432073', 'title': 'Parenting Siblings of a Child with a Serious Illness - Together by St. Jude™', 'section': 'Explain the unknown', 'super_section': None}"
21,"Try to keep daily routines for siblings as predictable and stable as possible. Siblings should continue to go to school and participate in hobbies and activities. Each family is different, but it may be best for siblings to stay in the family home if there is a caregiver who can stay with the sibling.
Family members and friends can help you support siblings and spend time with them when you are not able to.","{'source_url': 'https://together.stjude.org/en-us/emotional-support-daily-life/for-siblings/parenting-siblings.html', 'retrieved_at': '2025-09-29T18:09:06.432073', 'title': 'Parenting Siblings of a Child with a Serious Illness - Together by St. Jude™', 'section': 'Keep life as ‘normal’ as possible', 'super_section': None}"
22,"Find ways to spend special, one-on-one time with each child. Read a book, play a game, take a walk, or do a fun activity together. This time can give families much-needed stress relief and build connections. When you are away from home, be sure to find ways to connect with siblings through video calls or virtual activities.
Siblings may often hear how “strong” or “brave” the child with serious illness is. Talk to the sibling about how strong and brave they are being, too. Ask siblings how they are doing. Listen, maintain eye contact, and ask follow-up questions. Be sure they know that they are important to you and have unique qualities that make them special.","{'source_url': 'https://together.stjude.org/en-us/emotional-support-daily-life/for-siblings/parenting-siblings.html', 'retrieved_at': '2025-09-29T18:09:06.432073', 'title': 'Parenting Siblings of a Child with a Serious Illness - Together by St. Jude™', 'section': 'Make time for siblings', 'super_section': None}"
23,"It’s normal to get angry when a loved one has a serious illness. Children can get angry at the illness itself or at God for letting it happen. They might be angry that things are no longer like they used to be or be angry at their sibling for getting sick.
Give children and teens a way to express their anger. For example, encourage your child to draw a picture or write down their feelings in a letter or a journal.Relaxation techniquessuch as deep breathing can also help your child manage emotions.
A child undergoing treatment tends to get gifts and special treats from friends and extended family. This can lead to feelings of jealousy in siblings. Let them know that you understand and look for ways to include siblings and help them feel valued.
Some siblings may imagine that being at the hospital is fun because their brother or sister gets gifts, does not go to school every day, and spends extra time with you. They may only see pictures of your sick child smiling and having fun. If so, it is OK to share age-appropriate information about a more typical day, such as waiting for appointments, taking medicine, and having procedures.","{'source_url': 'https://together.stjude.org/en-us/emotional-support-daily-life/for-siblings/parenting-siblings.html', 'retrieved_at': '2025-09-29T18:09:06.432073', 'title': 'Parenting Siblings of a Child with a Serious Illness - Together by St. Jude™', 'section': 'Acknowledge difficult emotions', 'super_section': None}"
24,"Some siblings may think they caused their brother or sister to get sick because of something they thought, said, or did.
Some may feel guilty that they are healthy while their brother or sister is not.
Some ways to lessen siblings’ guilt may include:
Tell siblings there is nothing anyone can think, say, or do to make someone else get sick.
Allow them to help their brother or sister in different ways. They will feel less powerless.
Show siblings it’s OK to have fun and be independent even when their brother or sister is sick.","{'source_url': 'https://together.stjude.org/en-us/emotional-support-daily-life/for-siblings/parenting-siblings.html', 'retrieved_at': '2025-09-29T18:09:06.432073', 'title': 'Parenting Siblings of a Child with a Serious Illness - Together by St. Jude™', 'section': 'Relieve guilt', 'super_section': None}"
25,"It’s natural for children to feel uncomfortable when others see their brother or sister sick. People may ask questions about the illness that the siblings don’t know how to answer. Prepare children for questions and help them know what to say ahead of time. Help siblings know what to do in specific situations and encourage them to tell you when something makes them uncomfortable.
Consider whether you are comfortable with teachers or others at your children’s school talking with siblings about the illness. Let the school know how you prefer they communicate about your child’s illness.
Encourage siblings to share what it feels like when someone asks questions or stares at their brother or sister in public.
Check in regularly with the sibling’s teachers and other trusted adults. Help the sibling identify a support person they can rely on at school and at home.","{'source_url': 'https://together.stjude.org/en-us/emotional-support-daily-life/for-siblings/parenting-siblings.html', 'retrieved_at': '2025-09-29T18:09:06.432073', 'title': 'Parenting Siblings of a Child with a Serious Illness - Together by St. Jude™', 'section': 'Prepare for uncomfortable situations', 'super_section': None}"
26,"The relationship between siblings is an important source of strength and well-being. Find ways for your children to have fun together. Activities can be simple, such as playing board games, watching movies, telling jokes, reading, making crafts, or playing video games. Encourage shared interests and family traditions to create common experiences and memories. Model empathy and mutual respect so that each child feels valued and learns to think of the other person.
Creating opportunities for fun activities between siblings can help them feel connected.","{'source_url': 'https://together.stjude.org/en-us/emotional-support-daily-life/for-siblings/parenting-siblings.html', 'retrieved_at': '2025-09-29T18:09:06.432073', 'title': 'Parenting Siblings of a Child with a Serious Illness - Together by St. Jude™', 'section': 'Nurture the relationship between siblings', 'super_section': None}"
27,"Siblings of children with serious illness need attention and support.
Your care team can help you provide age-appropriate information for siblings and find ways to help them feel supported.
Keep siblings’ routines as normal as possible during treatment.
Help siblings find ways to express their emotions and let them know that fear, anger, jealousy and other feelings are natural.
Plan outings and activities for siblings to enjoy with one another and foster shared experiences to strengthen sibling bonds.","{'source_url': 'https://together.stjude.org/en-us/emotional-support-daily-life/for-siblings/parenting-siblings.html', 'retrieved_at': '2025-09-29T18:09:06.432073', 'title': 'Parenting Siblings of a Child with a Serious Illness - Together by St. Jude™', 'section': 'Key points about parenting siblings', 'super_section': None}"
28,"SuperSibs | Alex's Lemonade Stand
Caregivers SHARE Podcast | St. Jude Children's Research Hospital
—Reviewed: November 2024","{'source_url': 'https://together.stjude.org/en-us/emotional-support-daily-life/for-siblings/parenting-siblings.html', 'retrieved_at': '2025-09-29T18:09:06.432073', 'title': 'Parenting Siblings of a Child with a Serious Illness - Together by St. Jude™', 'section': 'Find more information', 'super_section': None}"
29,"How Siblings React to Hospital CareHospitalization of a child with serious illness affects the family, including the patient’s siblings (brothers and sisters) who may have questions, fears, or other reactions and need support.
Hospitalization of a child with serious illness affects the family, including the patient’s siblings (brothers and sisters) who may have questions, fears, or other reactions and need support.
For SiblingsSiblings of children with serious illnesses face their own challenges. Learn more about how to support siblings of children with serious illnesses.
Siblings of children with serious illnesses face their own challenges. Learn more about how to support siblings of children with serious illnesses.
How to Talk to Your Child about CancerTalking to your child about their cancer diagnosis can be a difficult conversation. Work with your health care team to learn the best ways to talk to your child.
Talking to your child about their cancer diagnosis can be a difficult conversation. Work with your health care team to learn the best ways to talk to your child.","{'source_url': 'https://together.stjude.org/en-us/emotional-support-daily-life/for-siblings/parenting-siblings.html', 'retrieved_at': '2025-09-29T18:09:06.432073', 'title': 'Parenting Siblings of a Child with a Serious Illness - Together by St. Jude™', 'section': 'Related Content', 'super_section': None}"
30,"Caring for a child with a serious disease can be challenging. Find information about how to support your child, including practical advice, emotional support options, and ways to connect with others who understand your journey.
Building Better Communication
Find Reliable Health Websites
How to Cope with Body Changes
How to Support Your School-Aged Child During Illness
How to Support Your Young Child During Illness
Keeping Adult Friendships
Making Difficult Decisions
Managing Guilt
Parents - Adjusting Emotionally After Cancer Treatment
How to Use Reflective Functioning to Talk to Your Young Child
Responsive Caregiving for Your Young Child
Summer Camps
Support Networks for Parents of a Child with Cancer
Supporting Marriages
Tips for Supporting Your Child’s Friendships After Cancer
How to Talk to Your Child About Sickle Cell Disease
How to Talk to Your Child about Cancer
How to Talk to Your Child About Their Medical Diagnosis
Comfort Positions
Ways to Pass Time While Waiting
Wish-Granting Organizations","{'source_url': 'https://together.stjude.org/en-us/emotional-support-daily-life/parents.html', 'retrieved_at': '2025-09-29T18:09:06.903407', 'title': 'For Parents and Caregivers - Together by St. Jude™', 'section': 'Find information about support for parents and caregivers', 'super_section': None}"
31,"Inherited Risk and Genetic TestingMany serious childhood diseases are passed down through families. Find more information about inherited risk and genetic testing.
Many serious childhood diseases are passed down through families. Find more information about inherited risk and genetic testing.
Parenting SiblingsSiblings of children with serious illnesses need special attention and support. Learn how parents can support siblings and nurture family relationships.
Siblings of children with serious illnesses need special attention and support. Learn how parents can support siblings and nurture family relationships.
Coping and Emotional SupportChildren with serious diseases and their caregivers may need emotional support and coping strategies. Learn more about navigating difficult emotions and challenges.
Children with serious diseases and their caregivers may need emotional support and coping strategies. Learn more about navigating difficult emotions and challenges.
When Childhood Cancer Comes BackRelapse or recurrence means cancer has returned after a period of improvement. There are treatment options for cancer that has relapsed.
Relapse or recurrence means cancer has returned after a period of improvement. There are treatment options for cancer that has relapsed.
Maintaining Healthy BoundariesHealthy boundaries with members of the care team are important when your child is facing a serious illness. These tips can help you understand healthy boundaries with care team members.
Healthy boundaries with members of the care team are important when your child is facing a serious illness. These tips can help you understand healthy boundaries with care team members.
How Patients React to Hospital CareHow children and teens react to hospital care depends on their age, stage of development, and personality. They may feel sad, angry, fearful, and feel a loss of control. These are normal feelings.
How children and teens react to hospital care depends on their age, stage of development, and personality. They may feel sad, angry, fearful, and feel a loss of control. These are normal feelings.","{'source_url': 'https://together.stjude.org/en-us/emotional-support-daily-life/parents.html', 'retrieved_at': '2025-09-29T18:09:06.903407', 'title': 'For Parents and Caregivers - Together by St. Jude™', 'section': 'Featured resources', 'super_section': None}"
32,Discover ways to help children with autism cope with cancer treatment.,"{'source_url': 'https://together.stjude.org/en-us/emotional-support-daily-life/parents.html', 'retrieved_at': '2025-09-29T18:09:06.903407', 'title': 'For Parents and Caregivers - Together by St. Jude™', 'section': 'How to Help Children with Autism Cope with Cancer Treatment', 'super_section': None}"
33,"The end of cancer treatment is a joyful time for childhood cancer patients and their families. Friends throw confetti at “off chemo” parties. Patients ring bells or bang gongs after finishing radiation treatments.
However, this time of transition can also be a period of uncertainty and anxiety. It’s normal to feel this way.
The end of cancer treatment is a joyful time, but it is also normal to feel uncertainty and anxiety during the transition.
The hospital has provided a safety net of information and support. Regular lab work, imaging scans, and clinic appointments provide a steady stream of updates about what’s going on with your child medically. Families going through the same situation are everywhere. They can immediately relate to your life.
“You really become close to your medical team and to the other families you see waiting for appointments,” said Shannon, mother of Griffin, 7, who was treated for childhood acute myeloid leukemia. “It’s like a family. You miss those friendships.”
Now Griffin returns to the hospital every few months for check-ups. Shannon is happy her son is finished with chemotherapy. But she misses the regular contact of the close network she was part of while Griffin was in treatment.
On the other hand, it is nice to do normal, everyday tasks like cleaning her own house, she said. A group of friends paid a cleaning service for her house during her son’s treatment, which was wonderful, but she likes returning to a regular routine.
Griffin, a pediatric acute myeloid leukemia patient
After childhood cancer treatment ends, patients will return to their cancer center on a regular basis for follow-up check-ups, tests, and scans.","{'source_url': 'https://together.stjude.org/en-us/conditions/cancers/life-after-cancer/transition-off-treatment.html', 'retrieved_at': '2025-09-29T18:09:07.280701', 'title': 'Transition Off Childhood Cancer Treatment - Together by St. Jude™', 'section': 'Transition Off Childhood Cancer Treatment - Together by St. Jude™', 'super_section': None}"
34,"After cancer treatment ends, patients will return to their cancer center on regular basis for follow-up check-ups, tests, and scans. This follow-up period lasts between 2 to 5 years, depending on the pediatric cancer center and the patient’s diagnosis. This phase is sometimes referred to as off therapy.
After this first follow-up period, patients move to long-term follow-up for childhood cancer survivors. The goal of long-term follow-up care is to help cancer survivors stay as healthy as possible and to monitor forlate effects. Late effects are side effects of treatment that appear months or years later. The schedule and details of follow-up visits vary depending on the cancer center and the patient’s needs.","{'source_url': 'https://together.stjude.org/en-us/conditions/cancers/life-after-cancer/transition-off-treatment.html', 'retrieved_at': '2025-09-29T18:09:07.280701', 'title': 'Transition Off Childhood Cancer Treatment - Together by St. Jude™', 'section': 'Frequent follow-up', 'super_section': None}"
35,"Any transition comes with challenges. The focus before has been getting through treatment. When treatment ends, you and your family must construct a new normal after cancer. Challenges may include:
Emotional adjustmentAfter therapy ends, expect a lot of emotions. This time is a period of adjustment.You may feel the joy of no more treatment and the worry that cancer will come back.You may be happy to return to familiar activities.You may also be anxious about taking care of a child who has been through cancer treatment.During this time, focus on the positive. Remember that treatment has ended. Check-ups are less frequent because research and experience show that it is OK to do so.After treatment ends, don’t feel pressure to return quickly to old ways of doing things. You are still in limbo. Give yourself time to adjust. Think about your life. What routines need updating? Use this time of transition to make needed changes.","{'source_url': 'https://together.stjude.org/en-us/conditions/cancers/life-after-cancer/transition-off-treatment.html', 'retrieved_at': '2025-09-29T18:09:07.280701', 'title': 'Transition Off Childhood Cancer Treatment - Together by St. Jude™', 'section': 'Challenges to expect', 'super_section': None}"
