id,text,metadata
23,"In partnership withSt. JudeFood Services, Common Table offers snacks, soft drinks, and grab-and-go foods. You can use your meal account to buy items, using your child’s medical record number. A 24-hour beverage station provides free coffee, tea, hot chocolate, and flavored water. Vending machines in this area offer snacks, drinks, and items such as over-the-counter medicines and phone chargers.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/common-table.html', 'retrieved_at': '2025-09-29T19:06:50.638252', 'title': 'Common Table - St. Jude Children’s Research Hospital', 'section': 'Common Table - St. Jude Children’s Research Hospital', 'super_section': None}"
24,"Family Commons offers many opportunities to be creative. Patients and families can engage their artistic side through music, crafts, and art. There is something for everyone. Check the social calendar on the app for a list of daily activities.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/creative-spaces.html', 'retrieved_at': '2025-09-29T19:06:51.007483', 'title': 'Creative Spaces - St. Jude Children’s Research Hospital', 'section': 'Creative Spaces - St. Jude Children’s Research Hospital', 'super_section': None}"
25,"The Makerspace has the latest technology and tools for hands-on-learning. This is a place where kids can come to create, invent, tinker, explore, and discover using a variety of tools and materials. It is a space for kids to let their curiosity and imagination come to life.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/creative-spaces.html', 'retrieved_at': '2025-09-29T19:06:51.007483', 'title': 'Creative Spaces - St. Jude Children’s Research Hospital', 'section': 'MAKERSPACE', 'super_section': None}"
26,"It is no secret thatSt. Judepatients love to express themselves through art. Pop of Art provides daily activities for patients and siblings to engage their inner artists. Creative curiosity is encouraged through drawing, painting, digital, and other mixed-media art forms.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/creative-spaces.html', 'retrieved_at': '2025-09-29T19:06:51.007483', 'title': 'Creative Spaces - St. Jude Children’s Research Hospital', 'section': 'POP OF ART', 'super_section': None}"
27,"Music therapy is a crucial part of the treatment journey. Studio 262 is a dream-come-true for music lovers. It offers instruments, a private practice room, and a recording studio. In partnership with Child Life, Family Commons offers many ways for patients and siblings to make music atSt. Jude,both in groups and solo. Watch for a variety of groups and performances at Studio 262.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/creative-spaces.html', 'retrieved_at': '2025-09-29T19:06:51.007483', 'title': 'Creative Spaces - St. Jude Children’s Research Hospital', 'section': 'STUDIO 262', 'super_section': None}"
28,"Housing and Patient Services arranges all patient housing and support services while families stay inSt. Judehousing facilities. This department also provides services for families whose patients are receiving care. These services include travel arrangements, reimbursements, and distributing meal stipends.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/housing-and-patient-services.html', 'retrieved_at': '2025-09-29T19:06:51.353307', 'title': 'Housing and Patient Services - St. Jude Children’s Research Hospital', 'section': 'Housing and Patient Services - St. Jude Children’s Research Hospital', 'super_section': None}"
29,"Monday–Thursday, 7 a.m.–9 p.m.
Friday, 7 a.m.–6 p.m.
Sunday (remote only), 5–9 p.m.
After hours and holidays: Call 901-595-2010","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/housing-and-patient-services.html', 'retrieved_at': '2025-09-29T19:06:51.353307', 'title': 'Housing and Patient Services - St. Jude Children’s Research Hospital', 'section': 'Hours', 'super_section': None}"
30,"Phone: 901-595-4501
Outside the Memphis area, call toll-free: 1-866-278-5833, extension 4501
Email:patientservices@stjude.org","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/housing-and-patient-services.html', 'retrieved_at': '2025-09-29T19:06:51.353307', 'title': 'Housing and Patient Services - St. Jude Children’s Research Hospital', 'section': 'Contact Housing and Patient Services', 'super_section': None}"
31,"For many families who travel toSt. Judefor treatment, free housing is available close to campus for up to 4 family members (5 if one family member is 24 months-old or younger).
If your child needs treatment that requires an overnight stay and you live more than 35 miles fromSt. Jude,you may be eligible for housing at one of theSt. Jude-sponsored facilities.
As soon as you get your child’s appointment schedule, call 901-595-4501 or emailreservationrequest@stjude.orgto reserve lodging for your visit. Housing placements are based on length of stay, medical needs, and availability.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/housing-and-patient-services.html', 'retrieved_at': '2025-09-29T19:06:51.353307', 'title': 'Housing and Patient Services - St. Jude Children’s Research Hospital', 'section': 'Housing', 'super_section': None}"
32,"All patients who drive toSt. Judefor appointments are reimbursed for mileage. This includes local families who live 35 miles or less fromSt. Jude. The distance from the patient’s home to the hospital is used to calculate the reimbursement amount.St. Judeuses the U.S. government mileage reimbursement rate.
For reimbursement, the appointment must appear in the patient’s medical record.
To request mileage reimbursements:
VisitHousing and Patient Services
Call901-595-4501
Emailpatientservices@stjude.org
For same-day payment of travel reimbursements, visit, call, or email Housing and Patient Services by 11 a.m. If travel reimbursements are submitted after 11 a.m., you will receive payment the following business day by 9 p.m.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/housing-and-patient-services.html', 'retrieved_at': '2025-09-29T19:06:51.353307', 'title': 'Housing and Patient Services - St. Jude Children’s Research Hospital', 'section': 'Mileage reimbursement', 'super_section': None}"
33,"St. Judehelps with meal costs for the patient and caregivers through aSt. Judecafeteria meal account.
Meal accounts are activated based on patients’ appointment schedules.The meal account is loaded with $75 per day for the patient and up to two caregivers. Unspent funds roll off each day at midnight. The meal account can be used at Kay Kafe and Common Table for all meals.  Provide the patient’s medical record number to the cashier at check-out.St. Judemeal accounts cannot be used off campus.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/housing-and-patient-services.html', 'retrieved_at': '2025-09-29T19:06:51.353307', 'title': 'Housing and Patient Services - St. Jude Children’s Research Hospital', 'section': 'Meals', 'super_section': None}"
34,Family Commons,"{'source_url': 'https://www.stjude.org/patient-experience/family-commons/learning-your-way-around.html', 'retrieved_at': '2025-09-29T19:06:51.738740', 'title': 'Learning Your Way Around - St. Jude Children’s Research Hospital', 'section': 'Area/Service', 'super_section': None}"
35,"Family Commons is a treatment-free zone open only to patients and families. It offers areas ranging from quiet nooks to lively playgrounds. You can get haircuts, paint pictures, take naps, attend classes, get short-term childcare, or grab snacks.
Family Commons is home to the Linda Hajar Family Resource Center, where families can use computers and take care of personal business needs. The Imagine Academy by Chili’s, Studio 262 Music Room, Housing and Patient Services, and a sacred space are also located in Family Commons.
Find more information about Family Commons in the OurSt. Judepatient and family app.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/learning-your-way-around.html', 'retrieved_at': '2025-09-29T19:06:51.738740', 'title': 'Learning Your Way Around - St. Jude Children’s Research Hospital', 'section': 'What You Need to Know', 'super_section': None}"
36,Second floor of the Patient Care CenterPhone:901-595-5700,"{'source_url': 'https://www.stjude.org/patient-experience/family-commons/learning-your-way-around.html', 'retrieved_at': '2025-09-29T19:06:51.738740', 'title': 'Learning Your Way Around - St. Jude Children’s Research Hospital', 'section': 'Location/Phone', 'super_section': None}"
37,"In the middle of a busy day, Resting Nooks offer a quiet, private place for patients and families. You can check in to a nook to relax between appointments. The 19 nooks offer comfortable furniture, warm blankets, and pillows. Every nook is private, which ensures quiet. Whether you need to relax or recover, the Resting Nooks offer the perfect space for your needs. A digital sign outside of each nook lets you know if the space is available to use.
Resting Nooks are available Monday–Friday, 8 a.m.–5 p.m.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/resting-nooks.html', 'retrieved_at': '2025-09-29T19:06:52.093733', 'title': 'Resting Nooks - St. Jude Children’s Research Hospital', 'section': 'Resting Nooks - St. Jude Children’s Research Hospital', 'super_section': None}"
38,"Resting Nooks are offered on a first-come, first-served basis.
If you leave the nook for more than 15 minutes, it becomes available for someone else to use.
To give everyone a chance to use this space, please limit your time in a nook to 3 hours.
Please eat and drink outside of the Resting Nook area. This helps ensure the space is free of scents or odors.
This is a quiet space, so volume levels for noise machines, music, and voices should be kept at the lowest level.
Keep personal items with you at all times.
When you leave the nook, please clean your space. Several dirty linen bins are in the hallways. Place used sheets, blankets, or pillows in the correct bins.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/resting-nooks.html', 'retrieved_at': '2025-09-29T19:06:52.093733', 'title': 'Resting Nooks - St. Jude Children’s Research Hospital', 'section': 'What you need to know about Resting Nooks', 'super_section': None}"
39,"Imagine Academy by Chili’s provides a place for kids to focus on schoolwork, learn, and connect with others. The space includes:
An accredited preschool program
A library
A working lab where students can perform experiments withSt. Judescientists and staff
As part of the health care team, the School Program provides opportunities for students to continue their normal educational experiences. The program also helps students get appropriate educational services in their community schools.
Imagine Academy provides:
Hospital bound services
Homebound educational services
School reintegration services
Advocacy services
Learn more:St. JudeSchool Program","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/school-program.html', 'retrieved_at': '2025-09-29T19:06:52.421711', 'title': 'School Program - St. Jude Children’s Research Hospital', 'section': 'School Program - St. Jude Children’s Research Hospital', 'super_section': None}"
40,"Phone: 901-595-3346
Email:schooladministration@stjude.org","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/school-program.html', 'retrieved_at': '2025-09-29T19:06:52.421711', 'title': 'School Program - St. Jude Children’s Research Hospital', 'section': 'Contact the School Program', 'super_section': None}"
41,"Casual Care allows caregivers to take some time for themselves. Staff in this space provide safe and supervised care for children ages 3–10 for up to 2 hours. Whether you need a coffee break or time to speak with your clinical team, you will know that your child has the best of care.
Complete a registration form once a year to leave children in this space.View the registration form below.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/casual-care.html', 'retrieved_at': '2025-09-29T19:06:52.776828', 'title': 'Casual Care - St. Jude Children’s Research Hospital', 'section': 'Casual Care - St. Jude Children’s Research Hospital', 'super_section': None}"
42,"Monday–Friday, 8:30 a.m.–5 p.m. Casual Care will be closed from 12:00 p.m. until 12:45 p.m. daily.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/casual-care.html', 'retrieved_at': '2025-09-29T19:06:52.776828', 'title': 'Casual Care - St. Jude Children’s Research Hospital', 'section': 'Hours', 'super_section': None}"
43,"This space is for patients and their siblings.
Children attending must be fully potty trained (no diapers). Caregivers will be called to handle any bathroom accidents.
Children can stay in the space for up to 2 hours a day.
Caregivers must remain on campus for the entire 2 hours.
Each family can leave up to 3 children in Casual Care.
Casual Care services are offered on a first-come, first-served basis.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/casual-care.html', 'retrieved_at': '2025-09-29T19:06:52.776828', 'title': 'Casual Care - St. Jude Children’s Research Hospital', 'section': 'What you need to know about Casual Care', 'super_section': None}"
44,Sometimes kids need a place to be kids. And caregivers need to be able to sit and watch. The play areas were created for all ages with this in mind. The indoor area is designed to fit the small and active bodies and minds of toddlers and younger kids. The outdoor area offers a chance to get fresh air and relax on comfortable patio furniture.,"{'source_url': 'https://www.stjude.org/patient-experience/family-commons/common-areas.html', 'retrieved_at': '2025-09-29T19:06:53.151281', 'title': 'Common Areas - St. Jude Children’s Research Hospital', 'section': 'INSIDE OUT (Play Areas)', 'super_section': None}"
45,"Located across from the inside play area, older kids can enjoy a space just for them. Riser seating and comfortable chairs make this area ideal for kids to hang out while still within view of caregivers.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/common-areas.html', 'retrieved_at': '2025-09-29T19:06:53.151281', 'title': 'Common Areas - St. Jude Children’s Research Hospital', 'section': 'The HANGOUT', 'super_section': None}"
46,"The Event Center hosts activities just for patients and families. The Patient and Family Advisory Committee and family educational and support groups meet here. Scheduled activities, discussions, and demonstrations for families can all happen in this area. Visit the Family Commons coordinators in the Family Resource Center for more information on using this room.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/common-areas.html', 'retrieved_at': '2025-09-29T19:06:53.151281', 'title': 'Common Areas - St. Jude Children’s Research Hospital', 'section': 'EVENT CENTER', 'super_section': None}"
47,"The In the Know area offers opportunities for caregivers to mentor, advise, and connect with each other. Check out the interactive map for a list of places to visit in Memphis. Employees in this area also offer help with technical issues such as network connections, app usage, andSt. JudeMyChart troubleshooting.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/common-areas.html', 'retrieved_at': '2025-09-29T19:06:53.151281', 'title': 'Common Areas - St. Jude Children’s Research Hospital', 'section': 'IN THE KNOW', 'super_section': None}"
48,"Families need a way to take care of online tasks or stay connected. This area offers computer workstations, printers, and enclosed booths where families can take calls or meetings. The Tech Share Program is also located in this area. This program provides electronic devices on a temporary basis. Families can use the devices during their time at the hospital.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/common-areas.html', 'retrieved_at': '2025-09-29T19:06:53.151281', 'title': 'Common Areas - St. Jude Children’s Research Hospital', 'section': 'LINDA R. HAJAR FAMILY RESOURCE CENTER', 'super_section': None}"
49,"Centrally located, this small, open area is full of surprises. Exciting one-time activities “pop up” in this space on a regular basis. The activities may be fun or flashy, artsy, or active…but if you wait too long, they’re gone.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/common-areas.html', 'retrieved_at': '2025-09-29T19:06:53.151281', 'title': 'Common Areas - St. Jude Children’s Research Hospital', 'section': 'WHAT’S UP (Pop-Up Space)', 'super_section': None}"
50,"St. JudeSpiritual Care Services aims to meet the spiritual, religious, and emotional needs of patients and families, without regard to race, gender, beliefs, or religion. This space offers a place of quiet reflection and peace outside the hustle and bustle of the hospital.
Sometimes, it is a peaceful place that invites deep breaths, silence, meditation, and prayer.
Sometimes, it is a busy place as children explore their spiritual curiosity through group and individual activities.
Sometimes, it is a listening place as parents and caregivers find comfort in the compassion of one another.
At all times, it is a place where you are welcome.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/common-areas.html', 'retrieved_at': '2025-09-29T19:06:53.151281', 'title': 'Common Areas - St. Jude Children’s Research Hospital', 'section': 'SACRED SPACE', 'super_section': None}"
51,"In partnership withSt. JudeFood Services, Common Table offers snacks, soft drinks, and grab-and-go foods. You can use your meal account to buy items, using your child’s medical record number. A 24-hour beverage station provides free coffee, tea, hot chocolate, and flavored water. Vending machines in this area offer snacks, drinks, and items such as over-the-counter medicines and phone chargers.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/common-table.html', 'retrieved_at': '2025-09-29T19:06:53.475048', 'title': 'Common Table - St. Jude Children’s Research Hospital', 'section': 'Common Table - St. Jude Children’s Research Hospital', 'super_section': None}"
52,"Family Commons offers many opportunities to be creative. Patients and families can engage their artistic side through music, crafts, and art. There is something for everyone. Check the social calendar on the app for a list of daily activities.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/creative-spaces.html', 'retrieved_at': '2025-09-29T19:06:53.860932', 'title': 'Creative Spaces - St. Jude Children’s Research Hospital', 'section': 'Creative Spaces - St. Jude Children’s Research Hospital', 'super_section': None}"
53,"The Makerspace has the latest technology and tools for hands-on-learning. This is a place where kids can come to create, invent, tinker, explore, and discover using a variety of tools and materials. It is a space for kids to let their curiosity and imagination come to life.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/creative-spaces.html', 'retrieved_at': '2025-09-29T19:06:53.860932', 'title': 'Creative Spaces - St. Jude Children’s Research Hospital', 'section': 'MAKERSPACE', 'super_section': None}"
54,"It is no secret thatSt. Judepatients love to express themselves through art. Pop of Art provides daily activities for patients and siblings to engage their inner artists. Creative curiosity is encouraged through drawing, painting, digital, and other mixed-media art forms.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/creative-spaces.html', 'retrieved_at': '2025-09-29T19:06:53.860932', 'title': 'Creative Spaces - St. Jude Children’s Research Hospital', 'section': 'POP OF ART', 'super_section': None}"
55,"Music therapy is a crucial part of the treatment journey. Studio 262 is a dream-come-true for music lovers. It offers instruments, a private practice room, and a recording studio. In partnership with Child Life, Family Commons offers many ways for patients and siblings to make music atSt. Jude,both in groups and solo. Watch for a variety of groups and performances at Studio 262.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/creative-spaces.html', 'retrieved_at': '2025-09-29T19:06:53.860932', 'title': 'Creative Spaces - St. Jude Children’s Research Hospital', 'section': 'STUDIO 262', 'super_section': None}"
56,"Housing and Patient Services arranges all patient housing and support services while families stay inSt. Judehousing facilities. This department also provides services for families whose patients are receiving care. These services include travel arrangements, reimbursements, and distributing meal stipends.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/housing-and-patient-services.html', 'retrieved_at': '2025-09-29T19:06:54.243308', 'title': 'Housing and Patient Services - St. Jude Children’s Research Hospital', 'section': 'Housing and Patient Services - St. Jude Children’s Research Hospital', 'super_section': None}"
57,"Monday–Thursday, 7 a.m.–9 p.m.
Friday, 7 a.m.–6 p.m.
Sunday (remote only), 5–9 p.m.
After hours and holidays: Call 901-595-2010","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/housing-and-patient-services.html', 'retrieved_at': '2025-09-29T19:06:54.243308', 'title': 'Housing and Patient Services - St. Jude Children’s Research Hospital', 'section': 'Hours', 'super_section': None}"
